collegeCode,collegeName,status,homeUniversity,district,minority,feesPdfUrl
06273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,https://cbsnfatskeujkebdccxq.supabase.co/storage/v1/object/public/fees_structures/fees/1769005137674.pdf
06274,"PVG's College of Engineering, Technology & Management",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06277,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Un-Aided Autonomous Home University,Autonomous Institute,Kolhapur,Non Minority,
06278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06281,"Modern Education Society's Wadia College of Engineering, Pune",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Un-Aided Autonomous Home University,Autonomous Institute,Sangli,Non Minority,
06284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
06293,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06303,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",Un-Aided Home University,Shivaji University,Satara,Non Minority,
06304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli",Un-Aided Autonomous Home University,Autonomous Institute,Sangli,Non Minority,
06305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",Un-Aided Autonomous Home University,Autonomous Institute,Satara,Non Minority,
06307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Un-Aided Autonomous Home University,Autonomous Institute,Pune,Non Minority,
06311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Un-Aided Home University,Savitribai Phule Pune University,Wagholi,Non Minority,
06313,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali",Un-Aided Home University,Shivaji University,Sangli,Non Minority,
06315,Sanjeevan Group of Institutions,Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
06317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Un-Aided Autonomous Home University,Autonomous Institute,Kolhapur,Non Minority,
06319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06324,Rajgad Technical Campus,Un-Aided Home University,Savitribai Phule Pune University,Pune,Non Minority,
06325,"Alard Charitable Trust's Alard College of Engineering and Management, Pune",Un-Aided Linguistic Minority - Hindi Home University,Savitribai Phule Pune University,Pune,Hindi Minority,
06326,Karmayogi Institute of Technology,Un-Aided Home University,Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Non Minority,
06402,"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR",Un-Aided Home University,Shivaji University,Kolhapur,Non Minority,
